,dataset,iteration,layer_idx,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
15,bookcorpus,15,0,213,6913,602,375,1440,4329,4608,5202,29,871,35,5,3420,10805,5172,5121,3311,604,1345,831,6634,472,2340,2183,1297,458,1805,11233,1801,5470,652,894,261,13409,2641,374,1016,34473,1408,3362,2100,3385,3152,4968,2366,2317,502,2110,14300,588,9186,1432,2519,427,581,0,2636,2864,1179,162,5,9929,208,522,20,3321,2547,5680,14011,5897,559,2476,2138,10002,3991,168,3015,27839,603,29683,4357,7474,13,1176,2092,27100,322,5553,1337,8,689,3359,2953,154,2177,1705,362,2197,23076,1733,3939,2346,6306,1229,307,107,516,15828,2252,1219,2769,1892,76,5023,6098,1920,475,93,105,2757,451,28889,1883,78,7107,5255,4110,6619
16,bookcorpus,16,0,340,6945,608,467,1710,5024,5120,4151,0,1144,48,11,3788,10881,5294,5136,2977,519,1235,898,6910,524,2665,2664,1423,414,1863,12839,1729,5972,746,946,231,13769,3352,356,985,32099,1558,3419,2094,3692,2929,4950,1857,1804,424,3329,13909,631,8627,1309,2672,434,553,0,2952,3259,1406,159,2,12025,242,397,20,3783,2035,3380,13837,4771,582,2372,1856,9901,4207,190,3268,25574,794,27995,4282,8750,13,1612,2158,24215,656,5560,1543,115,366,3956,2502,220,2215,2372,339,2419,21887,2204,4870,2788,5881,1489,385,135,558,13476,2438,1291,2683,1504,79,5038,7271,1967,427,92,125,3325,488,28037,2316,43,7533,5612,4637,7435
17,bookcorpus,17,0,189,6568,706,372,1678,4814,5015,4083,73,1202,48,4,3828,10420,4283,5191,2996,668,1307,804,7619,550,2715,2448,1141,374,2237,11029,1971,6134,675,784,273,13020,2378,343,1124,33823,1342,2739,2178,3642,2773,5469,1471,1880,394,2427,13591,746,8668,1111,2295,320,646,0,2704,2832,1195,133,2,10061,172,408,25,2874,2069,4774,14321,5440,535,3360,2253,10219,4068,197,3327,26189,888,28596,4564,7956,10,1400,1882,28246,410,5016,1300,132,490,3439,2221,345,1874,2553,388,2127,22985,1927,4900,2854,6447,1369,276,100,492,13775,3051,1708,2826,1497,74,5615,6802,1773,499,89,93,2481,437,28426,2845,32,7407,6177,5309,6448
18,bookcorpus,18,0,293,7196,504,401,1688,4897,4985,3799,16,870,63,5,4150,9827,4911,5092,3171,649,1432,845,7493,680,2424,2537,829,291,2261,13467,1853,6600,712,1006,270,13146,2937,338,1023,31658,1086,3104,2462,3573,2659,4844,2137,2583,390,2913,13787,818,9482,1504,2592,419,595,0,2198,3241,1297,159,6,10950,154,420,13,3114,1891,3615,14014,5104,537,2353,2230,9787,4032,176,3984,25599,864,28645,4090,8130,18,1729,2154,25799,570,5503,1395,94,606,3692,2596,99,2084,1935,397,2341,24296,1738,3965,2403,5959,1445,323,105,551,14026,2531,1348,3136,1439,117,5960,7016,2020,499,94,83,2803,577,27821,1606,103,7617,5343,5186,7296
19,bookcorpus,19,0,311,6983,633,480,1458,4929,4942,4264,0,677,60,2,4068,9897,4576,5487,2973,728,1605,360,7282,582,2392,2484,650,353,1964,12346,1628,6189,924,1024,249,13539,3023,408,1021,33069,1624,3004,2440,3996,2743,5715,2018,1608,420,3463,13552,672,7839,1336,2341,415,500,0,2264,3615,1168,140,1,10940,175,415,20,3459,1705,4274,13701,5382,599,1581,2794,9877,4056,219,3151,26121,600,29272,3875,8415,14,1474,2186,27207,271,5231,1484,154,440,3403,2425,98,2014,2158,354,2355,23326,1757,5562,2142,5560,926,355,111,555,13618,2645,1878,3219,1705,98,5891,5329,1923,577,85,127,2931,592,27942,2602,100,8003,5966,5495,6935
20,bookcorpus,20,0,186,6532,607,512,1862,4781,5170,4652,0,730,89,14,3505,10399,5598,5271,3277,530,1601,958,8496,567,2015,2644,1134,436,2458,11908,2098,6074,672,979,293,13491,3774,335,1008,31841,1257,3119,2145,3814,4033,4752,2286,2143,482,2930,12977,868,8475,1483,2261,441,620,0,2567,3062,1090,96,4,10574,193,437,12,3732,1897,4824,13834,5735,617,2580,2340,9956,4280,176,3178,26090,578,27879,3774,8158,22,1585,1736,23482,458,6144,1422,12,544,4045,3245,354,2357,1971,365,2433,22878,2162,3845,1851,6381,1824,446,103,558,13373,1833,1911,2857,1706,97,4870,6989,1835,513,115,180,3100,650,28261,2143,136,6723,5554,5595,7378
21,bookcorpus,21,0,43,6438,483,383,1644,4832,5335,5036,0,1552,35,7,3360,9797,4820,4642,2652,675,1512,626,8086,556,2419,2393,1066,440,2359,11813,1914,6266,807,866,265,14015,3113,341,1127,33066,1516,2425,2414,3848,3347,6064,1869,2043,441,2712,13109,735,8840,2004,2373,386,495,0,3232,3190,731,112,2,10240,159,425,16,3367,1778,4571,13631,5398,583,2454,2116,9688,3979,179,3621,25928,655,27964,3862,8136,25,1429,1982,26419,398,5221,1716,137,400,3367,2773,178,2056,2553,362,2178,21633,1960,4873,2120,6448,1114,358,101,498,14654,2530,1550,2408,1908,76,6565,6596,2033,464,103,211,3013,494,28654,2881,133,7230,5936,4438,6690
22,bookcorpus,22,0,219,7114,502,361,1463,4534,4823,4180,42,1080,32,5,3993,10112,5017,5504,2481,663,1250,572,6671,662,2597,2853,1010,410,1899,12483,1427,6464,753,926,235,13124,2218,354,1075,33208,1249,2226,2441,3948,3179,5130,2297,1714,388,2564,13655,1074,8442,1286,2391,415,636,0,2734,3377,1536,105,3,10878,198,442,21,3463,2447,3943,13916,5221,665,2606,1985,9942,4011,177,3401,25753,556,29746,4277,7667,11,1268,2294,26050,406,5308,1586,55,376,3194,2514,231,1991,2846,309,2459,23470,1869,5444,2442,5129,1118,236,102,483,13478,2717,1384,3232,1465,91,5844,6804,2050,494,77,111,2982,595,27888,2346,18,8440,5687,5843,7130
23,bookcorpus,23,0,303,6866,550,319,1622,4995,5649,4433,31,1303,55,2,3549,11121,4825,5969,2749,627,1531,976,8148,557,2912,3027,1217,376,2037,12224,1661,6367,863,940,299,12457,2834,286,1125,32984,1520,3103,2386,3674,3725,5283,2110,1720,438,2772,12266,740,8522,1005,2416,308,626,0,2905,3465,1224,103,2,11226,288,391,16,3527,1859,4125,14142,4903,621,2428,2190,9716,4006,172,3745,25323,892,27159,4199,8824,16,2127,2743,24288,351,5503,1477,125,478,3294,1972,176,2188,1952,372,2459,21994,2002,4624,2124,5431,1215,297,78,608,15119,2006,1761,3058,1544,123,5909,7191,2004,485,97,94,2969,396,27348,2021,88,8943,5352,4748,7284
24,bookcorpus,24,0,223,7086,524,341,1251,4565,4983,4379,0,809,58,8,3449,10908,5034,4796,2858,605,1564,549,7559,376,2308,2801,926,384,1727,12306,1677,6212,723,925,232,13824,2713,308,1094,33494,1255,3500,2014,4183,2516,4972,2178,1880,441,2988,14083,793,9067,1397,2393,404,539,0,2888,3075,1304,90,8,10561,245,367,12,4073,2020,3668,13638,5193,549,2591,2494,10259,4452,206,2916,26550,610,29330,4229,7803,14,1286,2941,25497,426,5452,1637,16,493,3358,2433,140,2073,2648,466,2305,23112,1869,4527,2132,5755,1393,317,98,531,14248,1387,1592,2651,1593,84,5387,6581,1942,505,119,160,2711,582,29635,2197,105,8035,5267,4649,6626
25,bookcorpus,25,0,148,6962,582,375,1789,4822,4932,3785,15,783,21,7,3748,10038,5215,5257,2916,513,1545,868,6550,525,2500,2625,1190,410,1502,13310,1903,6144,724,772,232,13909,2616,335,999,33664,1931,3041,2082,3789,2835,4504,1953,1698,454,2981,14578,789,8065,1232,2576,459,491,0,2852,2750,1264,93,2,11303,123,414,18,3827,1883,4035,14147,5626,548,1866,1870,10684,4466,223,3814,26058,681,27732,4224,9413,13,1809,1932,22932,512,5669,1322,102,675,3535,2590,297,1595,2378,389,2277,22907,1548,4481,2884,7357,1045,294,109,540,13832,2328,1511,2853,1620,61,5000,7404,1953,461,90,148,2820,403,28852,2228,54,8295,5172,5415,6991
26,bookcorpus,26,0,194,6151,561,324,1755,4151,5175,4328,25,757,55,3,3978,11214,4362,4656,2765,530,1491,747,8100,998,3264,3075,677,327,1821,12468,1466,5561,719,1073,251,14164,2762,276,1231,33777,1068,2688,2066,3964,3000,5963,1567,2012,424,2823,13305,651,9089,1163,2478,500,572,0,3552,3075,1223,117,3,10548,272,428,15,3231,1617,3788,13695,6217,642,2468,2624,10206,4081,163,3344,26653,629,26481,4681,8920,18,1667,2142,25893,295,5053,1401,176,544,3501,2640,69,1870,2481,430,2142,21413,1886,5168,1877,5389,1242,350,109,543,15121,2342,946,2856,1635,71,5105,7282,1917,484,117,121,2675,480,28939,2262,56,8185,5802,5321,7034
27,bookcorpus,27,0,87,6774,600,305,1736,4594,4584,5573,0,1286,36,2,3399,11065,4127,5196,2759,663,1392,865,6857,348,2434,2791,1144,476,1742,10757,1508,6133,732,911,282,14193,2839,337,914,34175,1274,3878,1878,3272,2675,5203,1677,1786,497,2596,13712,724,8589,1144,2253,379,436,0,2686,2914,1456,74,2,9351,103,471,12,3014,3034,4950,13669,5628,506,2621,2339,10411,3882,234,2956,27286,668,29642,4304,7905,10,1077,2256,29589,430,4990,1251,153,757,4347,2914,218,1633,2530,343,2102,22741,1648,4369,1973,5499,1606,313,77,515,15669,1913,1639,2428,2156,140,5219,6641,2040,496,122,87,2591,537,29215,1567,107,6546,5111,4735,6281
28,bookcorpus,28,0,347,7235,549,455,1576,4633,5333,4296,15,514,25,5,4104,10503,4782,5128,3284,677,1503,796,6974,557,2186,2321,1046,394,2438,12206,1871,6773,899,840,225,12857,2581,342,883,33487,1511,2995,2354,3834,3372,4920,1756,1716,420,3018,12725,1016,9676,970,2161,427,583,0,3090,3816,1561,111,1,11332,338,404,15,3955,2670,3769,14441,6025,659,1950,2259,9797,4066,149,2981,25631,536,27382,3734,8188,26,1563,2375,24902,424,5787,1903,86,425,3495,2402,162,1757,2305,422,2469,21887,1991,4565,2451,5536,1252,300,102,664,13398,2144,1717,3376,1585,85,6075,6426,1832,639,76,75,3042,501,27470,2500,124,7934,5765,6320,6999
29,bookcorpus,29,0,206,6990,496,263,1794,4628,4952,4791,20,1181,30,6,2584,9699,4440,4820,2924,671,925,1289,7973,707,2029,2682,769,338,1911,12144,1668,6112,747,1189,311,13762,2360,396,1144,33468,1552,2845,2277,3818,2703,5442,1598,1975,482,2774,13747,779,9683,1538,2417,330,538,0,2766,3012,1223,119,1,10305,121,445,16,3381,2353,4079,13567,5394,590,2016,2304,10163,3648,195,3858,26252,751,30490,4507,8895,28,1912,1769,28174,477,5301,1351,158,661,3402,3492,222,1953,1728,374,2222,22334,1650,4083,2458,5964,1338,286,111,517,13831,2016,1734,2896,1804,86,5664,6005,1851,539,97,100,2798,334,28995,2404,79,7853,5665,3597,6607
30,bookcorpus,0,1,2543,933,2170,2081,1884,3485,1480,3148,413,1121,2142,5605,25449,5380,7163,1718,4565,1939,277,249,3,10722,2999,462,4000,307,3695,295,10232,1560,4422,19201,1251,1048,510,1428,7324,2275,6530,1641,2238,22611,5106,2361,1000,1809,6864,2800,1653,18,1375,28408,1670,62,202,0,1471,0,20,3175,2644,2459,3743,4964,133,508,32797,1490,1413,0,11428,6182,0,1033,351,8282,2472,1634,6041,6716,0,8695,989,1,11221,1398,1246,1416,267,173,2928,504,2166,3671,781,4220,3989,218,11104,145,8469,380,1889,1759,1793,9739,2,544,269,615,6447,913,1776,2850,84731,3570,682,4,0,0,1653,3098,0,1310,773,1015,4080,12
31,bookcorpus,1,1,2896,1160,2075,1882,2230,3330,1900,2505,266,1007,2002,4495,24970,5947,6469,1309,4091,1232,279,180,4,10694,3194,444,5096,245,3572,241,9756,1839,4339,18220,1215,636,538,2493,8073,2510,6194,1934,2992,21979,7480,3058,941,2031,6206,3052,1933,9,1318,27712,1731,66,166,0,1902,0,106,2888,2598,2710,4818,5735,173,318,31821,1374,1411,0,10975,5695,0,959,407,8150,2845,2765,5235,6554,0,8757,1077,0,10862,1624,1049,1754,282,177,2525,662,2274,2827,613,4789,3873,423,10931,137,8378,246,1973,2047,2047,9997,6,552,128,817,7447,1398,1430,2631,83689,3591,580,6,0,0,1454,3095,0,1281,959,882,3430,13
32,bookcorpus,2,1,2614,1051,2206,2745,2883,4075,1888,3286,491,1418,2167,6048,23075,5660,6734,1889,4769,1245,369,280,8,11902,3406,405,4528,299,3586,268,9365,1749,4322,17781,1403,593,935,1679,7503,2717,6613,1453,2610,21764,5146,2399,906,1848,6552,2805,1942,10,1828,26864,2173,171,184,1,1840,0,25,3002,2687,2931,4835,5370,169,522,31954,1289,1439,0,12300,5814,0,1269,385,7889,3009,2310,6568,6693,0,8957,1162,0,10507,1512,604,1281,282,156,2707,467,2399,3012,565,3802,4416,530,11635,141,8197,313,2009,1687,2093,10000,5,686,163,878,6838,1080,1963,3367,79911,3264,473,4,0,0,1893,3359,0,1311,747,1120,3872,9
33,bookcorpus,3,1,2570,1087,1861,2848,1989,3691,1799,3315,397,1460,1876,6206,24008,5521,7021,1848,3646,2018,179,342,2,11070,2898,496,4450,280,3802,250,9835,1858,3902,19005,1570,908,824,1974,8281,2267,6374,1510,3381,21701,5817,2479,981,2004,5717,3088,2381,12,2073,27734,1719,55,282,0,1532,0,110,3489,2981,3071,3676,5005,180,182,31800,1366,1278,0,11673,6534,0,1118,535,7873,2948,2219,5513,6296,0,9721,1173,0,9985,1616,1359,1841,350,133,2511,428,1756,3327,828,4122,4174,487,10762,135,8278,376,1976,1581,1793,10500,1,737,93,792,6149,1371,1572,3822,80110,3255,788,3,0,0,2063,3323,0,1416,659,1003,3872,6
34,bookcorpus,4,1,2642,1224,2125,3140,2211,3812,1614,3229,350,1663,1534,5313,23912,5316,6270,2132,4108,1586,237,261,1,11072,2781,403,4788,242,4461,265,10465,1671,3734,18403,1329,1073,709,1962,7395,2573,6410,1634,2478,22812,6095,2287,862,1728,6018,2805,1777,7,1658,28155,1342,106,203,0,1535,0,85,3103,3012,2870,3841,4831,107,957,33091,1107,1362,0,11826,6055,0,1038,541,8335,2597,1932,5212,7157,0,8484,1167,1,11352,1418,924,2544,430,134,2124,470,1990,3453,654,4650,3865,230,10825,135,6848,249,1860,1463,2565,9350,2,844,147,637,7031,1218,1729,3423,82200,3490,839,5,0,0,2172,3184,0,1284,833,911,4162,15
35,bookcorpus,5,1,2960,965,2032,2412,2789,3629,1627,2567,409,1302,1957,4457,24453,5123,7386,2361,4045,1533,296,195,2,11098,3175,439,5033,222,3802,266,9661,1868,4232,18724,1421,939,838,2158,8177,2327,6393,1724,2751,21860,5317,2878,847,2193,6151,2756,1670,17,1925,27689,1696,67,239,5,2031,0,61,2961,3363,3611,3955,5290,117,301,32540,890,1372,0,10457,6406,0,916,467,7335,2541,2219,4568,7378,0,7725,1001,1,10726,1412,1456,1900,313,109,3070,514,2600,3152,548,4545,3611,491,11623,81,8156,355,2076,1660,2389,9004,4,787,146,622,6765,1057,1298,2990,83729,4293,678,4,0,0,2174,2886,0,1267,703,933,3579,18
36,bookcorpus,6,1,2126,1741,1844,2834,2195,3401,2401,2965,446,1549,1854,5149,23172,5398,6543,1802,4050,2111,268,247,10,11251,3178,428,4639,215,3802,289,9868,1707,4044,18801,1373,1258,495,1653,7947,2345,6591,1485,2907,22132,5305,2736,1026,2315,6435,2992,1752,1,2037,27636,1586,131,217,0,2027,0,30,3243,2375,3019,4584,4963,89,471,33205,1374,1239,0,11260,6340,0,1535,614,7853,2462,1932,5638,6021,0,8886,1103,0,10525,1453,1400,1749,299,129,3116,563,2181,3898,608,3932,4112,551,11287,145,7888,309,1976,1690,1764,10126,1,570,156,803,6622,1035,1548,3212,82102,3206,845,6,0,0,1446,3273,0,1193,729,1018,3859,17
